discordID,username,status
87523836420976640,Mica,active
262152938825318400,quruc90,active
251073661069557773,January,active
167320944992321536,Aiden,active
277864913605623829,Freed8m,active
194130890564042752,Dutchy,inactive
713803331126034515,KimoMetos,inactive
139467791676735489,Savo,active
188368057599655937,Dawid,active
407233674199695360,Myenia,active
362243315657211941,maty,active
612765206376087565,Dimash,active
312669187854041089,Aki,active
478640840609103873,Razor,active
266171476728741890,Wurunduk,inactive
520641602415362048,Daxeis,inactive
562733501560913920,Dimon,inactive
223788374132129792,Kryptopex,inactive
655514918782500874,Applejuice,inactive
456226577798135808,Melih,retired
312391206179176448,Minuano,inactive
298921631361925120,a bad guy,inactive
511396788486275093,Blacksquare,active
226258529470644235,Brajt,inactive
609510760351137900,ZODIAC,inactive
225680178657886209,flikx,inactive
716244034867298314,Mentos,retired
377876041789603840,Krozbot,inactive
176365225694461952,Millie,retired
313340085867118592,FrenzY,inactive
-1,Ragemn,retired
682245923417358361,Nkey,inactive
360847920800595980,Wspak262,inactive
-1,FLY X,inactive
452519353808584735,DazZ Dark Knight,retired
177154711596695553,Tommeron,retired
-1,Elricofatal,inactive
-1,Anatexis,retired
318777703832748033,Nicky11,retired
359743106377187328,PhantomFlame0,retired
267380054017835009,Savino,inactive
118274780930506753,TumeK5,retired
298097604166811658,DenoPL,retired
-1,Shadowware,retired
-1,Kirobody,retired
292380872449982476,Szerik,retired
383603512644206604,GT-R,inactive
467336923187511296,InjectionBalding,inactive
336954129786077185,THE KOKS XXL,retired
-1,Gandalf,inactive